temperature,top_p,effective_temperature,effective_top_p,num_items,avg_unique_ratio,avg_mean_pairwise_cosine,avg_mean_pairwise_distance,avg_num_clusters,single_cluster_ratio,output_path,sampling_note
0.0,0.0,,,200,0.1,1.000000095963478,-9.596347808837891e-08,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p0_top_p_0p0/llama_dolly_deepseek.json,temperature<=0: greedy decoding; top_p is ignored.
0.0,0.1,,,200,0.1,1.000000095963478,-9.596347808837891e-08,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p0_top_p_0p1/llama_dolly_deepseek.json,temperature<=0: greedy decoding; top_p is ignored.
0.0,0.5,,,200,0.1,1.000000095963478,-9.596347808837891e-08,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p0_top_p_0p5/llama_dolly_deepseek.json,temperature<=0: greedy decoding; top_p is ignored.
0.0,0.9,,,200,0.1,1.000000095963478,-9.596347808837891e-08,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p0_top_p_0p9/llama_dolly_deepseek.json,temperature<=0: greedy decoding; top_p is ignored.
0.0,1.0,,,200,0.1,1.000000095963478,-9.596347808837891e-08,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p0_top_p_1p0/llama_dolly_deepseek.json,temperature<=0: greedy decoding; top_p is ignored.
0.1,0.0,0.1,1e-08,200,0.1005,0.9999869832396507,1.3016760349273681e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p1_top_p_0p0/llama_dolly_deepseek.json,top_p<=0: replaced by EPS_TOP_P=1e-08 because sampling requires a positive nucleus mass.
0.1,0.1,0.1,0.1,200,0.1005,0.9999869832396507,1.3016760349273681e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p1_top_p_0p1/llama_dolly_deepseek.json,
0.1,0.5,0.1,0.5,200,0.10100000000000002,0.999971806704998,2.8193295001983642e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p1_top_p_0p5/llama_dolly_deepseek.json,
0.1,0.9,0.1,0.9,200,0.15600000000000003,0.9871937024593354,0.012806297540664672,1.245,0.805,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p1_top_p_0p9/llama_dolly_deepseek.json,
0.1,1.0,0.1,1.0,200,0.1905,0.9832735222578048,0.01672647774219513,1.33,0.73,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p1_top_p_1p0/llama_dolly_deepseek.json,
0.5,0.0,0.5,1e-08,200,0.1005,0.9999869832396507,1.3016760349273681e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p5_top_p_0p0/llama_dolly_deepseek.json,top_p<=0: replaced by EPS_TOP_P=1e-08 because sampling requires a positive nucleus mass.
0.5,0.1,0.5,0.1,200,0.1005,0.9999869832396507,1.3016760349273681e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p5_top_p_0p1/llama_dolly_deepseek.json,
0.5,0.5,0.5,0.5,200,0.1225,0.9936377987265587,0.006362201273441314,1.09,0.93,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p5_top_p_0p5/llama_dolly_deepseek.json,
0.5,0.9,0.5,0.9,200,0.45649999999999996,0.9382246890664101,0.061775310933589934,2.495,0.295,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p5_top_p_0p9/llama_dolly_deepseek.json,
0.5,1.0,0.5,1.0,200,0.5285,0.9313628315925598,0.06863716840744019,2.98,0.22,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p5_top_p_1p0/llama_dolly_deepseek.json,
0.9,0.0,0.9,1e-08,200,0.1005,0.9999869832396507,1.3016760349273681e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p9_top_p_0p0/llama_dolly_deepseek.json,top_p<=0: replaced by EPS_TOP_P=1e-08 because sampling requires a positive nucleus mass.
0.9,0.1,0.9,0.1,200,0.1005,0.9999869832396507,1.3016760349273681e-05,1.0,1.0,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p9_top_p_0p1/llama_dolly_deepseek.json,
0.9,0.5,0.9,0.5,200,0.217,0.976022941172123,0.023977058827877044,1.465,0.715,ablation_sampling_hparams/all-MiniLM-L12-v2/llama_dolly_deepseek/temp_0p9_top_p_0p5/llama_dolly_deepseek.json,
